voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2021,All-NBA
Sam Amick,The Athletic,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Westbrook, Russell (WAS)","James, LeBron (LAL)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Booker, Devin (PHX)",2021,All-NBA
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","James, LeBron (LAL)","Beal, Bradley (WAS)",2021,All-NBA
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2021,All-NBA
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Booker, Devin (PHX)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Westbrook, Russell (WAS)",2021,All-NBA
Jon Barry,ESPN,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Harden, James (BKN)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)",2021,All-NBA
Howard Beck,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","George, Paul (LAC)",2021,All-NBA
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Tatum, Jayson (BOS)","Harden, James (BKN)",2021,All-NBA
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Doncic, Luka (DAL)","George, Paul (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Westbrook, Russell (WAS)",2021,All-NBA
Ric Bucher,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Doris Burke,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Paul, Chris (PHX)","Randle, Julius (NYK)","James, LeBron (LAL)","Adebayo, Bam (MIA)","Beal, Bradley (WAS)","George, Paul (LAC)",2021,All-NBA
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Butler, Jimmy (MIA)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Williamson, Zion (NOP)","James, LeBron (LAL)","Gobert, Rudy (UTA)","George, Paul (LAC)","Beal, Bradley (WAS)",2021,All-NBA
Davide Chinellato,La Gazzetta Dello Sport,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","Doncic, Luka (DAL)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Lillard, Damian (POR)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Sabonis, Domantas (IND)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2021,All-NBA
Mauricio Codocea,Clarin (Argentina),"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Lillard, Damian (POR)","George, Paul (LAC)","James, LeBron (LAL)","Adebayo, Bam (MIA)","Harden, James (BKN)","Simmons, Ben (PHI)",2021,All-NBA
Jamal Collier,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Antoni Daimiel,Movistar+,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Harden, James (BKN)",2021,All-NBA
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Williamson, Zion (NOP)","James, LeBron (LAL)","Gobert, Rudy (UTA)","George, Paul (LAC)","Irving, Kyrie (BKN)",2021,All-NBA
Chris Fedor,Cleveland.com,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Doncic, Luka (DAL)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Joe Freeman,The Oregonian,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","Williamson, Zion (NOP)","Adebayo, Bam (MIA)","Beal, Bradley (WAS)","Booker, Devin (PHX)",2021,All-NBA
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Irving, Kyrie (BKN)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","George, Paul (LAC)",2021,All-NBA
Kyle Goon,Southern California News Group,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Irving, Kyrie (BKN)","Paul, Chris (PHX)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","George, Paul (LAC)","Beal, Bradley (WAS)",2021,All-NBA
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Doncic, Luka (DAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","Sabonis, Domantas (IND)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Booker, Devin (PHX)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2021,All-NBA
Kevin Harlan,Turner,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Randle, Julius (NYK)","James, LeBron (LAL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Harden, James (BKN)",2021,All-NBA
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Booker, Devin (PHX)",2021,All-NBA
Max Haupt,DPA,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (BKN)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2021,All-NBA
Chris Haynes,Yahoo! Sports,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Vucevic, Nikola (CHI)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2021,All-NBA
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Tatum, Jayson (BOS)","George, Paul (LAC)",2021,All-NBA
Adam Himmelsbach,Boston Globe,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Harden, James (BKN)",2021,All-NBA
Lisa Hsu,Tencent,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Durant, Kevin (BKN)","Gobert, Rudy (UTA)","Harden, James (BKN)","Mitchell, Donovan (UTA)",2021,All-NBA
Cassidy Hubbarth,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Adebayo, Bam (MIA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","James, LeBron (LAL)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Harden, James (BKN)",2021,All-NBA
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Doncic, Luka (DAL)","James, LeBron (LAL)","Embiid, Joel (PHI)","Westbrook, Russell (WAS)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Booker, Devin (PHX)","Irving, Kyrie (BKN)",2021,All-NBA
Mark Jackson,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Westbrook, Russell (WAS)","Doncic, Luka (DAL)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Davis, Anthony (LAL)","Beal, Bradley (WAS)","Paul, Chris (PHX)",2021,All-NBA
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","Sabonis, Domantas (IND)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2021,All-NBA
Jason Jones,The Athletic,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Tony Jones,The Athletic,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Embiid, Joel (PHI)","Harden, James (BKN)","Paul, Chris (PHX)","Durant, Kevin (BKN)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Mitchell, Donovan (UTA)",2021,All-NBA
Fred Katz,The Athletic,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Beal, Bradley (WAS)",2021,All-NBA
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Doncic, Luka (DAL)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Young, Trae (ATL)",2021,All-NBA
Scott Kushner,New Orleans Times Picayune,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","James, LeBron (LAL)","George, Paul (LAC)","Capela, Clint (ATL)","Booker, Devin (PHX)","Mitchell, Donovan (UTA)",2021,All-NBA
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (BKN)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Durant, Kevin (BKN)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Paul, Chris (PHX)",2021,All-NBA
Zach Lowe,ESPN,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2021,All-NBA
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Westbrook, Russell (WAS)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)",2021,All-NBA
Rob Mahoney,The Ringer,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Harden, James (BKN)","George, Paul (LAC)",2021,All-NBA
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","George, Paul (LAC)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2021,All-NBA
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Irving, Kyrie (BKN)","Leonard, Kawhi (LAC)","Booker, Devin (PHX)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Lillard, Damian (POR)",2021,All-NBA
Jeff McDonald,San Antonio Express-News,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Capela, Clint (ATL)","Beal, Bradley (WAS)","Harden, James (BKN)",2021,All-NBA
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","James, LeBron (LAL)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Westbrook, Russell (WAS)",2021,All-NBA
Mark Medina,USA Today,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Lillard, Damian (POR)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Harden, James (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Tatum, Jayson (BOS)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Harden, James (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Joe Mussatto,The Oklahoman,"Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Paul, Chris (PHX)","Williamson, Zion (NOP)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","George, Paul (LAC)",2021,All-NBA
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Harden, James (BKN)","Beal, Bradley (WAS)",2021,All-NBA
Kevin O'Connor,The Ringer,"Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Beal, Bradley (WAS)",2021,All-NBA
